rotation
Symbol of Vengeance, Time: 0s
Zealot's Flame, Time: 0.8s
Glacial Heart, Time: 0s
Purging Flames, Time: 0s
Zealot's Flame, Time: 0s
Weapon Swap, Time: 0s
Flame Rush, Time: 0s
Symbol of Punishment, Time: 0s
Tome of Justice, Time: 0s
Quickfire Proc, Time: 0s
Epilogue: Ashes of the Just, Time: 0s
Flame Rush, Time: 0s
Chapter 2: Igniting Burst, Time: 0s
Flame Surge, Time: 0s
Chapter 4: Scorched Aftermath, Time: 0s
Weapon Swap, Time: 0s
Zealot's Fire, Time: 0s
Zealot's Fire, Time: 0s
Cleansing Flame, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Tome of Justice, Time: 0s
Chapter 2: Igniting Burst, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Zealot's Flame, Time: 0s
Weapon Swap, Time: 0s
Blazing Edge, Time: 0s
Glacial Heart, Time: 0s
Symbol of Vengeance, Time: 0s
Glacial Heart, Time: 0s
Zealot's Fire, Time: 0s
Core Cleave, Time: 0s
Bleeding Edge, Time: 0s
Searing Slash, Time: 0s
Core Cleave, Time: 0s
Bleeding Edge, Time: 0s
Searing Slash, Time: 0s
Purging Flames, Time: 0s
Tome of Justice, Time: 0s
Chapter 4: Scorched Aftermath, Time: 0s
Epilogue: Ashes of the Just, Time: 0s
Chapter 2: Igniting Burst, Time: 0s
Weapon Swap, Time: 0s
Symbol of Vengeance, Time: 0s
Zealot's Flame, Time: 0s
Glacial Heart, Time: 0s
Zealot's Fire, Time: 0s
Zealot's Flame, Time: 0s
Blazing Edge, Time: 0s
Glacial Heart, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Zealot's Fire, Time: 0s
Mantra of Flame, Time: 0s
Flame Rush, Time: 0s
Cleansing Flame, Time: 0s
Flame Rush, Time: 0s
Flame Surge, Time: 0s
Tome of Justice, Time: 0s
Chapter 2: Igniting Burst, Time: 0s
Weapon Swap, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Symbol of Punishment, Time: 0s
Orb of Wrath, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Weapon Swap, Time: 0s
Symbol of Vengeance, Time: 0s
Glacial Heart, Time: 0s
Blazing Edge, Time: 0s
Glacial Heart, Time: 0s
Purging Flames, Time: 0s
Tome of Justice, Time: 0s
Quickfire Proc, Time: 0s
Chapter 4: Scorched Aftermath, Time: 0s
Chapter 2: Igniting Burst, Time: 0s
Epilogue: Ashes of the Just, Time: 0s
Weapon Swap, Time: 0s
Core Cleave, Time: 0s
Bleeding Edge, Time: 0s
Searing Slash, Time: 0s
Core Cleave, Time: 0s
