rotation
Flowing Resolve Precast, Time: 0s
Flowing Resolve Precast, Time: 0s
Jurisdiction Lvl 3, Time: 0s
Rushing Justice, Time: 0s
Purging Flames, Time: 0s
Symbol of Punishment, Time: 0s
Weapon Swap, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Zealot's Flame, Time: 0s
Whirling Light, Time: 0s
Zealot's Fire, Time: 0s
Crashing Courage, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Peacekeeper, Time: 0s
Symbol of Ignition, Time: 0s
Through the Heart, Time: 0s
Through the Heart, Time: 0s
Rushing Justice, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Peacekeeper, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Hail of Justice, Time: 0s
Flowing Resolve, Time: 0s
Hail of Justice, Time: 0s
Jurisdiction Lvl 3, Time: 0s
Orb of Wrath, Time: 0s
Rushing Justice, Time: 0s
Purging Flames, Time: 0s
Whirling Light, Time: 0s
Symbol of Punishment, Time: 0s
Weapon Swap, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Cleansing Flame, Time: 0s
Through the Heart, Time: 0s
Through the Heart, Time: 0s
Through the Heart, Time: 0s
Rushing Justice, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Hail of Justice, Time: 0s
Flowing Resolve, Time: 0s
Hail of Justice, Time: 0s
Jurisdiction Lvl 3, Time: 0s
Orb of Wrath, Time: 0s
Rushing Justice, Time: 0s
Purging Flames, Time: 0s
Whirling Light, Time: 0s
Symbol of Punishment, Time: 0s
Weapon Swap, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Crashing Courage, Time: 0s
Cleansing Flame, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Rushing Justice, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Hail of Justice, Time: 0s
Flowing Resolve, Time: 0s
Hail of Justice, Time: 0s
Jurisdiction Lvl 3, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Rushing Justice, Time: 0s
Purging Flames, Time: 0s
Whirling Light, Time: 0s
Symbol of Punishment, Time: 0s
Weapon Swap, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Flowing Resolve, Time: 0s
Cleansing Flame, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Rushing Justice, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Hail of Justice, Time: 0s
Crashing Courage, Time: 0s
Hail of Justice, Time: 0s
Jurisdiction Lvl 3, Time: 0s
Orb of Wrath, Time: 0s
Orb of Wrath, Time: 0s
Rushing Justice, Time: 0s
Purging Flames, Time: 0s
Whirling Light, Time: 0s
Symbol of Punishment, Time: 0s
Weapon Swap, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Flowing Resolve, Time: 0s
Cleansing Flame, Time: 0s
Zealot's Flame, Time: 0s
Zealot's Fire, Time: 0s
Rushing Justice, Time: 0s
Symbol of Ignition, Time: 0s
Peacekeeper, Time: 0s
Weapon Swap, Time: 0s
Symbol of Punishment, Time: 0s
Hail of Justice, Time: 0s
Orb of Wrath, Time: 0s
Flowing Resolve, Time: 0s
Hail of Justice, Time: 0s
Jurisdiction Lvl 1, Time: 0s
Whirling Light, Time: 0s
