rotation
Procession of Blades, Time: 0s
Sword of Justice, Time: 0s
Spear of Justice, Time: 0s
Symbol of Energy, Time: 0s
True Shot, Time: 0s
Hunter's Ward, Time: 0s
Weapon Swap, Time: 0s
Symbol of Resolution, Time: 0s
Whirling Wrath, Time: 0s
Dragon's Maw, Time: 0s
Leap of Faith, Time: 0s
Binding Blade, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Sword of Justice, Time: 0s
Shield of Courage, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Whirling Wrath, Time: 0s
Symbol of Resolution, Time: 0s
Leap of Faith, Time: 0s
Weapon Swap, Time: 0s
Symbol of Energy, Time: 0s
True Shot, Time: 0s
Procession of Blades, Time: 0s
Spear of Justice, Time: 0s
Deflecting Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
True Shot, Time: 0s
Sword of Justice, Time: 0s
Hunter's Ward, Time: 0s
Wings of Resolve, Time: 0s
Sword of Justice, Time: 0s
Puncture Shot, Time: 0s
AFK 100ms, Time: 0s
AFK 100ms, Time: 0s
AFK 50ms, Time: 0s
True Shot, Time: 0s
Symbol of Energy, Time: 0s
Weapon Swap, Time: 0s
Symbol of Resolution, Time: 0s
Whirling Wrath, Time: 0s
Leap of Faith, Time: 0s
Binding Blade, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Strike, Time: 0s
AFK 50ms, Time: 0s
Procession of Blades, Time: 0s
Spear of Justice, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Whirling Wrath, Time: 0s
Symbol of Resolution, Time: 0s
Leap of Faith, Time: 0s
Weapon Swap, Time: 0s
Symbol of Energy, Time: 0s
True Shot, Time: 0s
Sword of Justice, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Sword of Justice, Time: 0s
True Shot, Time: 0s
Hunter's Ward, Time: 0s
Wings of Resolve, Time: 0s
Deflecting Shot, Time: 0s
Puncture Shot, Time: 0s
AFK 100ms, Time: 0s
AFK 100ms, Time: 0s
True Shot, Time: 0s
Procession of Blades, Time: 0s
Spear of Justice, Time: 0s
AFK 50ms, Time: 0s
Symbol of Energy, Time: 0s
Weapon Swap, Time: 0s
Symbol of Resolution, Time: 0s
Whirling Wrath, Time: 0s
Dragon's Maw, Time: 0s
Leap of Faith, Time: 0s
Binding Blade, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Sword of Justice, Time: 0s
Shield of Courage, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Whirling Wrath, Time: 0s
Symbol of Resolution, Time: 0s
Leap of Faith, Time: 0s
Weapon Swap, Time: 0s
Symbol of Energy, Time: 0s
True Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Procession of Blades, Time: 0s
AFK 50ms, Time: 0s
Spear of Justice, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
True Shot, Time: 0s
Hunter's Ward, Time: 0s
Wings of Resolve, Time: 0s
Deflecting Shot, Time: 0s
Puncture Shot, Time: 0s
Sword of Justice, Time: 0s
True Shot, Time: 0s
AFK 100ms, Time: 0s
AFK 10ms, Time: 0s
AFK 10ms, Time: 0s
Symbol of Energy, Time: 0s
Weapon Swap, Time: 0s
Symbol of Resolution, Time: 0s
Whirling Wrath, Time: 0s
Leap of Faith, Time: 0s
Binding Blade, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Procession of Blades, Time: 0s
Spear of Justice, Time: 0s
Whirling Wrath, Time: 0s
Strike, Time: 0s
AFK 50ms, Time: 0s
Symbol of Resolution, Time: 0s
Leap of Faith, Time: 0s
Weapon Swap, Time: 0s
Symbol of Energy, Time: 0s
True Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Sword of Justice, Time: 0s
Wings of Resolve, Time: 0s
True Shot, Time: 0s
Hunter's Ward, Time: 0s
Dragon's Maw, Time: 0s
Deflecting Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
Puncture Shot, Time: 0s
True Shot, Time: 0s
AFK 100ms, Time: 0s
AFK 10ms, Time: 0s
AFK 10ms, Time: 0s
Symbol of Energy, Time: 0s
Weapon Swap, Time: 0s
Symbol of Resolution, Time: 0s
Spear of Justice, Time: 0s
Whirling Wrath, Time: 0s
Leap of Faith, Time: 0s
Procession of Blades, Time: 0s
Sword of Justice, Time: 0s
Binding Blade, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Strike, Time: 0s
Vengeful Strike, Time: 0s
Wrathful Strike, Time: 0s
Whirling Wrath, Time: 0s
Symbol of Resolution, Time: 0s
Leap of Faith, Time: 0s
